3,47,1,1,39,1,5,1,0,1,3,1,4,1,2,1,4,2,1,1
2,40,1,8,9,5,2,4,0,1,1,1,6,1,1,2,4,1,2,2
4,15,0,4,99,4,5,2,0,3,1,3,4,2,3,1,1,1,1,2
2,8,0,2,58,2,4,2,0,2,1,4,5,2,2,3,2,2,2,2
2,8,0,2,58,2,4,2,0,2,1,4,4,2,2,3,2,1,2,2
3,47,1,3,84,2,1,4,0,3,4,1,3,1,3,1,2,1,2,1
2,16,0,6,84,3,3,3,0,2,1,1,7,1,2,4,3,1,1,2
4,40,0,0,118,3,2,1,0,3,4,3,2,2,3,2,4,2,2,1
4,27,3,9,115,3,4,4,0,1,4,3,2,1,3,3,4,1,2,1
3,60,1,8,32,4,2,1,0,1,4,3,7,1,3,1,1,1,1,1
3,60,1,8,32,5,2,1,0,1,3,3,7,1,3,1,1,1,1,1
4,54,2,4,31,3,4,4,0,3,3,3,2,3,1,2,3,2,1,2
4,7,2,4,81,2,4,2,0,1,3,3,5,2,2,2,4,1,2,2
2,13,1,0,65,1,3,2,0,2,2,2,7,2,2,3,4,2,1,2
2,28,0,9,15,5,3,2,0,2,2,4,6,2,1,2,1,2,1,1
1,45,4,9,44,3,3,2,0,1,2,3,4,3,2,4,3,2,2,2
4,27,3,9,116,3,5,4,0,1,4,3,2,1,3,3,4,1,2,1
3,28,4,6,26,1,2,4,0,1,4,3,3,1,3,1,4,1,2,1
4,4,0,4,84,4,3,1,0,3,3,2,5,3,3,3,4,1,1,2
2,11,1,9,63,3,5,2,0,1,1,4,2,1,1,3,1,1,2,2
2,9,0,6,68,3,5,1,0,2,3,3,7,3,2,2,3,2,1,2
2,40,2,8,9,5,2,4,0,1,1,2,6,1,1,2,4,1,2,2
2,8,2,2,82,5,5,4,0,2,3,4,6,3,2,4,1,2,2,2
3,72,4,8,89,2,4,2,0,3,1,3,6,1,3,3,2,2,2,1
2,9,0,5,6,1,1,2,0,1,3,4,6,3,3,4,4,1,1,1
3,60,1,8,33,5,2,1,0,1,4,3,7,1,3,1,1,1,1,1
1,39,0,5,86,2,2,3,0,2,4,2,6,1,3,4,1,2,2,2
3,39,1,5,98,1,1,4,0,2,3,1,3,2,2,4,4,1,2,2
1,27,4,9,110,4,4,1,0,1,4,1,2,1,2,1,3,2,2,2
4,54,2,4,31,3,4,4,0,3,3,3,2,3,1,1,3,2,2,2
2,42,2,4,62,1,2,3,0,1,1,1,2,3,1,1,2,2,1,2
4,72,3,2,66,3,3,4,0,2,3,3,2,3,2,4,1,2,1,2
2,20,1,1,21,2,2,4,0,2,3,4,4,2,1,1,1,2,2,1
2,33,1,4,28,4,4,2,0,2,2,1,2,1,2,3,3,2,1,1
4,4,0,4,84,4,3,1,0,3,4,2,5,3,3,3,4,2,1,2
2,9,0,5,68,3,5,1,0,2,3,3,7,3,2,2,4,2,1,2
1,42,0,4,33,5,5,1,0,1,4,3,7,2,3,4,3,2,2,1
3,12,2,10,91,3,2,2,0,2,2,1,3,3,1,4,2,2,1,1
1,22,0,0,67,1,3,3,0,2,2,4,6,3,3,4,2,2,2,2
4,20,4,4,113,2,1,4,0,3,4,2,3,1,2,2,1,2,2,2
4,39,1,0,76,1,3,1,0,2,2,4,1,1,1,4,4,2,2,1
1,4,4,1,57,4,1,3,0,3,1,4,2,3,3,3,1,2,1,1
2,9,0,5,6,1,1,1,0,1,3,4,6,3,3,4,4,1,1,1
2,9,0,6,68,3,5,1,0,2,3,3,7,2,2,2,4,2,1,2
3,72,2,6,70,5,2,2,0,2,1,2,3,1,3,3,1,1,2,1
2,8,0,2,58,2,3,2,0,2,1,4,4,2,2,3,2,2,2,2
4,40,0,0,118,3,2,1,0,3,4,3,1,2,3,2,3,2,2,1
3,60,1,8,32,5,2,1,0,1,4,3,7,1,3,1,1,1,1,1
1,30,1,8,40,1,1,2,0,2,4,3,6,3,1,3,2,2,2,2
2,14,1,0,65,1,3,2,0,2,2,2,7,1,2,3,4,2,1,2
