9,7,33,13,6,3,1,0,0,18,12,12,10
3,4,28,15,3,2,4,0,0,22,15,27,10
1,4,46,4,5,6,1,0,0,18,8,99,6
8,7,2,12,4,100,0,1,0,11,13,14,13
1,7,20,8,0,6,2,1,0,25,9,58,21
4,7,14,4,4,13,3,1,0,7,10,39,31
6,1,37,10,4,5,1,2,0,10,3,22,18
1,2,4,3,2,8,2,1,0,42,24,4,14
1,7,61,9,3,12,2,0,0,18,2,92,3
2,2,15,8,2,13,5,4,0,7,24,26,22
6,2,38,10,6,5,1,2,0,10,3,22,18
1,7,21,6,0,6,2,1,0,25,9,55,21
7,3,42,4,0,2,5,2,0,6,18,77,33
4,3,28,15,3,2,5,0,0,21,15,26,9
5,0,68,4,5,3,1,1,0,12,21,32,38
1,7,20,7,0,6,2,1,0,26,9,55,20
1,6,29,5,3,12,2,0,0,25,19,87,30
7,1,61,12,0,13,4,2,0,13,39,82,25
2,4,12,9,6,6,4,2,0,4,30,68,12
1,5,7,6,0,8,3,0,0,42,16,35,40
1,3,24,9,6,12,2,3,0,41,25,30,13
6,1,38,10,5,4,1,2,0,10,3,22,16
2,2,15,8,1,13,4,4,0,7,24,27,21
1,5,29,6,3,13,3,0,0,27,19,87,30
4,0,68,5,5,3,1,1,0,13,21,33,38
4,1,49,9,2,11,3,0,0,7,16,40,39
2,1,15,8,5,6,0,0,0,9,39,75,15
6,0,35,4,5,12,0,0,0,8,17,23,30
4,7,14,5,4,13,2,2,0,7,11,39,31
9,5,24,5,4,6,3,2,0,41,39,68,24
4,2,24,6,1,7,4,0,0,18,37,48,27
9,7,31,13,5,3,0,0,0,18,14,12,10
3,3,27,15,2,3,5,0,0,22,15,27,9
1,7,21,8,0,6,2,0,0,25,9,55,20
4,0,68,5,5,2,1,1,0,13,20,31,38
5,1,61,12,1,12,4,1,0,13,39,82,24
6,1,38,9,5,4,1,2,0,11,3,21,18
7,3,44,4,0,2,5,4,0,6,18,77,33
1,7,20,8,0,6,3,1,0,25,9,55,23
6,1,61,12,0,12,4,1,0,14,38,82,26
1,7,20,8,1,6,2,2,0,24,9,55,21
1,0,4,3,2,8,2,2,0,41,24,4,14
6,1,60,12,0,12,3,2,0,13,39,82,25
1,7,60,9,2,12,2,0,0,18,2,93,4
6,1,37,10,5,4,1,2,0,9,3,23,18
9,4,27,15,3,9,3,4,0,23,19,72,28
6,1,38,10,5,4,1,1,0,9,3,22,17
1,7,61,9,3,13,2,1,0,19,2,92,4
1,2,3,4,1,8,2,2,0,41,24,5,14
1,4,29,6,3,13,2,0,0,26,19,87,30
9,4,28,15,3,8,3,4,0,22,19,72,28
6,2,43,13,0,13,4,1,0,5,26,45,25
1,2,20,12,2,7,2,0,0,21,1,29,34
1,2,19,12,1,7,2,0,0,19,1,30,34
3,3,27,15,3,4,5,0,0,22,15,27,9
2,0,8,12,2,9,0,2,0,20,26,24,23
7,3,54,15,1,8,5,1,0,15,17,48,2
1,5,6,6,0,8,4,0,0,41,16,36,40
8,0,28,12,4,0,1,3,0,10,0,14,40
9,0,28,12,5,0,0,3,0,10,0,13,40
1,3,4,3,1,7,2,2,0,41,24,4,15
6,1,61,13,0,12,5,2,0,13,39,82,25
6,2,38,11,5,4,1,2,0,10,2,22,18
1,7,60,9,1,12,2,1,0,17,2,92,4
8,4,27,15,3,9,3,3,0,21,19,73,28
6,7,16,15,2,8,4,2,0,11,3,4,28
1,6,29,6,4,13,2,0,0,25,19,87,31
6,2,43,9,2,5,0,1,0,7,37,37,25
6,7,17,15,2,8,4,1,0,11,3,4,26
8,4,27,15,3,10,3,2,0,22,19,72,28
