3,0,30,8,0,4,5,4,0,3,33,18,30,0
6,5,72,0,3,13,3,2,0,2,6,79,12,0
6,3,51,8,4,2,5,4,0,7,18,42,3,0
2,6,45,14,6,6,5,4,0,13,26,62,30,0
2,4,29,1,5,2,4,1,0,11,41,10,32,0
1,5,17,8,3,11,2,1,0,7,20,67,39,0
6,2,19,14,4,6,5,3,0,12,6,55,23,0
5,6,35,11,3,1,3,2,0,6,10,52,40,0
1,6,37,11,5,13,4,0,0,16,11,21,8,0
2,1,17,6,5,10,0,2,0,13,13,54,32,0
2,6,30,6,2,10,4,4,0,2,43,41,31,0
2,4,21,2,1,13,5,0,0,2,5,93,2,0
5,3,33,11,6,4,5,1,0,10,24,66,22,0
2,1,24,5,2,5,5,3,0,10,19,9,8,0
1,4,70,12,2,10,1,0,0,0,12,93,28,0
3,5,70,4,1,5,2,3,0,0,19,50,36,0
8,5,50,9,6,11,4,4,0,14,9,38,37,0
2,0,59,11,3,12,4,1,0,9,1,86,35,0
8,2,41,1,2,3,4,4,0,2,17,52,39,0
4,1,56,1,2,8,5,2,0,1,36,38,3,0
8,0,5,5,5,10,3,3,0,11,18,30,3,0
8,4,35,10,5,3,1,4,0,10,5,44,38,0
1,3,56,9,5,2,2,3,0,9,38,21,13,0
9,4,11,13,4,8,2,3,0,7,15,34,21,0
5,4,29,12,6,8,2,4,0,11,28,42,18,0
6,2,43,5,4,2,2,4,0,10,1,48,25,0
2,1,11,0,4,0,5,1,0,18,2,12,10,0
4,6,21,3,5,2,5,3,0,8,26,61,16,0
4,4,56,14,6,1,5,0,0,4,41,85,29,0
8,2,28,11,3,12,4,2,0,1,25,90,39,0
1,3,69,1,3,9,3,3,0,13,13,12,36,0
9,4,32,0,2,1,4,3,0,4,10,15,15,0
5,1,27,6,6,2,2,1,0,6,34,81,37,0
8,1,46,7,2,2,5,0,0,0,6,83,26,0
1,1,10,0,2,4,4,3,0,10,12,34,6,0
9,5,33,3,4,11,4,3,0,11,2,30,35,0
3,6,7,5,1,12,0,1,0,0,17,62,29,0
6,4,40,10,3,11,4,4,0,8,22,8,2,0
3,2,74,7,6,0,1,3,0,6,21,81,18,0
9,1,53,9,6,11,3,2,0,11,9,57,30,0
8,5,8,6,2,0,2,2,0,1,3,58,8,0
5,5,8,10,0,9,1,1,0,2,1,46,30,0
5,0,51,13,0,1,3,0,0,3,2,41,40,0
2,1,20,0,2,12,4,2,0,4,39,29,0,0
1,3,26,1,1,7,4,2,0,4,16,61,28,0
4,1,60,14,2,4,3,4,0,2,32,40,33,0
6,3,10,13,5,1,0,0,0,8,22,35,32,0
8,3,19,0,4,6,2,1,0,6,10,46,11,0
2,2,13,15,0,7,2,3,0,1,42,4,23,0
3,3,33,12,3,0,1,2,0,5,31,26,40,0
3,4,21,9,4,9,5,0,0,10,3,83,13,0
4,4,57,2,4,1,5,1,0,11,12,28,34,0
5,6,22,15,2,9,2,0,0,0,8,83,13,0
1,0,58,15,1,3,0,1,0,1,42,5,34,0
2,6,7,5,4,8,3,0,0,4,35,55,8,0
